t,label,x_kf_acc,y_kf_acc,z_kf_acc,x_kf_lin,y_kf_lin,z_kf_lin,x_kf,y_kf,z_kf,acc_mag,lin_acc_mag,magnetometer_mag,pressure_hpa,x_kf_acc_mean,x_kf_acc_std,x_kf_acc_min,x_kf_acc_max,x_kf_acc_median,x_kf_acc_skew,x_kf_acc_kurt,y_kf_acc_mean,y_kf_acc_std,y_kf_acc_min,y_kf_acc_max,y_kf_acc_median,y_kf_acc_skew,y_kf_acc_kurt,z_kf_acc_mean,z_kf_acc_std,z_kf_acc_min,z_kf_acc_max,z_kf_acc_median,z_kf_acc_skew,z_kf_acc_kurt,x_kf_lin_mean,x_kf_lin_std,x_kf_lin_min,x_kf_lin_max,x_kf_lin_median,x_kf_lin_skew,x_kf_lin_kurt,y_kf_lin_mean,y_kf_lin_std,y_kf_lin_min,y_kf_lin_max,y_kf_lin_median,y_kf_lin_skew,y_kf_lin_kurt,z_kf_lin_mean,z_kf_lin_std,z_kf_lin_min,z_kf_lin_max,z_kf_lin_median,z_kf_lin_skew,z_kf_lin_kurt,x_kf_mean,x_kf_std,x_kf_min,x_kf_max,x_kf_median,x_kf_skew,x_kf_kurt,y_kf_mean,y_kf_std,y_kf_min,y_kf_max,y_kf_median,y_kf_skew,y_kf_kurt,z_kf_mean,z_kf_std,z_kf_min,z_kf_max,z_kf_median,z_kf_skew,z_kf_kurt,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_median,acc_mag_skew,acc_mag_kurt,lin_acc_mag_mean,lin_acc_mag_std,lin_acc_mag_min,lin_acc_mag_max,lin_acc_mag_median,lin_acc_mag_skew,lin_acc_mag_kurt,magnetometer_mag_mean,magnetometer_mag_std,magnetometer_mag_min,magnetometer_mag_max,magnetometer_mag_median,magnetometer_mag_skew,magnetometer_mag_kurt,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_min,pressure_hpa_max,pressure_hpa_median,pressure_hpa_skew,pressure_hpa_kurt
0,street,0.28369,4.70047,8.42817,0.03602,-0.11481,0.08473,-17.03787,-29.42979,-31.61992,9.654478120846305,0.14716640037726003,46.43512565275774,1007.85,0.28369,0.977983974146119,0.28369,0.28369,0.28369,-0.007269415306835219,0.5222980687285419,4.70047,1.0378725976756122,4.70047,4.70047,4.70047,-0.08404037313838586,0.2881365127836484,8.42817,0.8023244490476985,8.42817,8.42817,8.42817,-0.6601654501982532,1.2176053980000807,0.03602,0.22051155768176292,0.03602,0.03602,0.03602,0.1349040026058393,1.6649851153244215,-0.11481,0.1765020224402364,-0.11481,-0.11481,-0.11481,-0.3533885404076512,1.9318582436517622,0.08473,0.219899015948255,0.08473,0.08473,0.08473,0.13644141382139197,1.1570017990693964,-17.03787,7.189547103487285,-17.03787,-17.03787,-17.03787,0.16951419756764308,0.4591191226316521,-29.42979,6.970328836986045,-29.42979,-29.42979,-29.42979,0.20975343999453586,0.494585647654737,-31.61992,6.07235543646653,-31.61992,-31.61992,-31.61992,0.22197477824108636,0.4559836262488336,9.654478120846305,0.21796788875853765,9.654478120846305,9.654478120846305,9.654478120846305,-0.37277794972087613,1.134720678424488,0.14716640037726003,0.19141858584996393,0.14716640037726003,0.14716640037726003,0.14716640037726003,1.206537829055062,2.550469130268416,46.43512565275774,3.4868924389089777,46.43512565275774,46.43512565275774,46.43512565275774,-0.006595176271625761,1.6091112292657108,1007.85,0.038528931774459346,1007.85,1007.85,1007.85,-0.0779541340761832,-0.691788378701388
1,street,2.15141,3.98376,8.78969,0.11643,0.11584,0.02857,-26.65033,-22.38218,-31.88709,9.887242235416304,0.16670661474578627,47.201573907332794,1007.84,1.21755,1.3206774773577383,0.28369,2.15141,1.21755,-0.007269415306835219,0.5222980687285419,4.342115,0.5067905011442101,3.98376,4.70047,4.342115,-0.08404037313838586,0.2881365127836484,8.60893,0.2556332435345604,8.42817,8.78969,8.60893,-0.6601654501982532,1.2176053980000807,0.076225,0.05685845627521028,0.03602,0.11643,0.076225,0.1349040026058393,1.6649851153244215,0.0005150000000000016,0.1630941790806772,-0.11481,0.11584,0.0005150000000000016,-0.3533885404076512,1.9318582436517622,0.05665,0.03971111683143651,0.02857,0.08473,0.05665,0.13644141382139197,1.1570017990693964,-21.8441,6.79703564988444,-26.65033,-17.03787,-21.8441,0.16951419756764308,0.4591191226316521,-25.905985,4.983412822158123,-29.42979,-22.38218,-25.905985,0.20975343999453586,0.494585647654737,-31.753505,0.18891771872961,-31.88709,-31.61992,-31.753505,0.22197477824108636,0.4559836262488336,9.770860178131304,0.16458908382932894,9.654478120846305,9.887242235416304,9.770860178131304,-0.37277794972087613,1.134720678424488,0.15693650756152316,0.013817018085823704,0.14716640037726003,0.16670661474578627,0.15693650756152316,1.206537829055062,2.550469130268416,46.81834978004527,0.5419607582386133,46.43512565275774,47.201573907332794,46.81834978004527,-0.006595176271625761,1.6091112292657108,1007.845,0.007071067811859044,1007.84,1007.85,1007.845,-0.0779541340761832,-0.691788378701388
2,street,0.71148,3.43904,8.87626,0.3622,0.04598,-0.30076,-18.67412,-22.62014,-36.26716,9.545742061233375,0.47303232236285936,46.644403585635004,1007.82,1.04886,0.9785006121101815,0.28369,2.15141,0.71148,1.3671141253511558,0.5222980687285419,4.04109,0.6326661504300666,3.43904,4.70047,3.98376,0.40442592685376383,0.2881365127836484,8.69804,0.2376887752923975,8.42817,8.87626,8.78969,-1.4771684141772865,1.2176053980000807,0.17155,0.1699323656635192,0.03602,0.3622,0.11643,1.3060676139073366,1.6649851153244215,0.01567,0.11827458602759935,-0.11481,0.11584,0.04598,-1.0774714266999799,1.9318582436517622,-0.06248666666666667,0.20825254484239403,-0.30076,0.08473,0.02857,-1.5914233674019627,1.1570017990693964,-20.78744,5.142901698428622,-26.65033,-17.03787,-18.67412,-1.53690250628496,0.4591191226316521,-24.810703333333333,4.002015425511668,-29.42979,-22.38218,-22.62014,-1.72516422833002,0.494585647654737,-33.25805666666667,2.6093815560843754,-36.26716,-31.61992,-31.88709,-1.7116457160143574,0.4559836262488336,9.695820805831994,0.17446347882325472,9.545742061233375,9.887242235416304,9.654478120846305,1.006485102995588,1.134720678424488,0.26230177916196856,0.18275934004230499,0.14716640037726003,0.47303232236285936,0.16670661474578627,1.7098026098105068,2.550469130268416,46.76036771524184,0.3961647274201615,46.43512565275774,47.201573907332794,46.644403585635004,1.2043620864577678,1.6091112292657108,1007.8366666666667,0.015275252316505573,1007.82,1007.85,1007.84,-0.9352195295820691,-0.691788378701388
3,street,0.34194,2.90607,9.45773,0.37166,-0.14826,0.1527,-15.53554,-21.67181,-36.98087,9.900041543417885,0.42828667175152674,45.59172181136177,1007.79,0.87213,0.873637760668955,0.28369,2.15141,0.52671,1.7363358890836198,2.9675510172456896,3.7573350000000003,0.7674059586468339,2.90607,4.70047,3.7114000000000003,0.2971115542930715,-0.7244922701205923,8.8879625,0.42655151305752764,8.42817,9.45773,8.832975000000001,0.7457124318190373,1.6213453111338634,0.22157749999999998,0.17106239297889722,0.03602,0.37166,0.239315,-0.18515098131487825,-4.911843275272766,-0.0253125,0.126665621585601,-0.14826,0.11584,-0.034415,0.19660894962392353,-4.235439816873459,-0.008690000000000003,0.20121896945036438,-0.30076,0.1527,0.05665,-1.6238181728131198,2.8344716155793357,-19.474465,4.952632834055707,-26.65033,-15.53554,-17.855995,-1.610212936363766,2.721537383692329,-24.02598,3.6249939517466783,-29.42979,-21.67181,-22.50116,-1.9247983735329164,3.770033964843229,-34.18876,2.8291487852120216,-36.98087,-31.61992,-34.077124999999995,-0.047103516256127145,-5.640972425648326,9.746875990228467,0.17526607689578555,9.545742061233375,9.900041543417885,9.770860178131304,-0.3178478301744483,-4.145707248981369,0.3037980023093581,0.17074853944848556,0.14716640037726003,0.47303232236285936,0.2974966432486565,0.047802065410789386,-5.596081166609935,46.46820623927183,0.6678804581149589,45.59172181136177,47.201573907332794,46.539764619196376,-0.6119756522642973,1.2489372281664117,1007.825,0.02645751311068033,1007.79,1007.85,1007.83,-0.8639187954531684,-0.28571428569353685
4,street,0.4265,4.0358,9.07729,0.23351,0.00061,0.15977,-18.32764,-22.35018,-35.82217,9.943177441547546,0.28293770533458423,46.028912625771426,1007.76,0.7830039999999999,0.7823997840170969,0.28369,2.15141,0.4265,2.0065107097579453,4.084030300382359,3.813028,0.6761600995844103,2.90607,4.70047,3.98376,-0.11242026726247747,-0.10775137588648438,8.925828,0.3789836743449506,8.42817,9.45773,8.87626,0.21481798729270957,0.6198634969287594,0.223964,0.14824045881607353,0.03602,0.37166,0.23351,-0.2581010174480149,-2.24725293528088,-0.020128,0.11030652732272919,-0.14826,0.11584,0.00061,-0.043751543107686336,-1.997128062356064,0.025001999999999996,0.18984878079671727,-0.30076,0.15977,0.08473,-1.8162453501111044,3.421813309400934,-19.2451,4.319660925101645,-26.65033,-15.53554,-18.32764,-1.7747849602468768,3.5640359158532795,-23.690820000000002,3.2275527866558584,-29.42979,-21.67181,-22.38218,-2.167609893276117,4.773008339706164,-34.515442,2.5566907873792624,-36.98087,-31.61992,-35.82217,0.49468003283113066,-3.1058588581488515,9.786136280492283,0.17534394840092105,9.545742061233375,9.943177441547546,9.887242235416304,-0.756660230912838,-2.0214915477223023,0.29962594291440336,0.1481665555745237,0.14716640037726003,0.47303232236285936,0.28293770533458423,0.18539754263447555,-2.7330703243923153,46.380347516571746,0.6108551428295693,45.59172181136177,47.201573907332794,46.43512565275774,0.07046274328598895,-0.2635678607816523,1007.8120000000001,0.03701351104667613,1007.76,1007.85,1007.82,-0.6073931164348376,-1.1737439394781635
5,street,0.57542,4.68788,8.29083,-0.01812,0.03552,-0.30902,-27.26605,-26.92886,-35.17825,9.54176027574053,0.31158203606755,52.020286971186536,1007.74,0.7484066666666666,0.7049123282129959,0.28369,2.15141,0.5009600000000001,2.1888120908507567,4.977402364986422,3.9588366666666666,0.7023638571756567,2.90607,4.70047,4.00978,-0.4427607304296262,-0.8238881005196994,8.819995,0.4267395501591104,8.29083,9.45773,8.832975000000001,0.2633717221565745,-0.5132267085606775,0.18361666666666665,0.16537119080017132,-0.01812,0.37166,0.17497000000000001,0.04908721023329165,-2.1084560775483943,-0.010853333333333335,0.10124297815980457,-0.14826,0.11584,0.018065,-0.4045443562172198,-1.279869940966477,-0.03066833333333334,0.2177823770112418,-0.30902,0.15977,0.05665,-0.7682916071350819,-1.905902795709978,-20.581925,5.064600960592059,-27.26605,-15.53554,-18.50088,-0.7636415961850196,-1.784055714222072,-24.23049333333333,3.1750844764803756,-29.42979,-21.67181,-22.50116,-1.1838268869925985,-0.34349117647735145,-34.62591,2.302727361187163,-36.98087,-31.61992,-35.500209999999996,0.6964096527715409,-1.8168067049490855,9.745406946366991,0.18587542102816593,9.54176027574053,9.943177441547546,9.770860178131304,-0.13411464674291626,-2.799547159040076,0.30161862510659443,0.13261405372949428,0.14716640037726003,0.47303232236285936,0.2972598707010671,0.11876966364755337,-1.6752669058286838,47.32033742567421,2.366432204755469,45.59172181136177,52.020286971186536,46.539764619196376,2.161852415358478,4.921432364013033,1007.8000000000001,0.044271887242370626,1007.74,1007.85,1007.8050000000001,-0.29041325450458677,-1.785714285716845
6,street,0.39785,4.53095,8.5031,-0.22245,-0.09351,-0.12661,-26.95762,-36.39186,-30.05637,9.643158307058947,0.27250360493028347,54.35500094656333,1007.6325915996424,0.6983271428571428,0.6569933051336795,0.28369,2.15141,0.4265,2.388168062444997,5.915797517794644,4.040567142857143,0.6766497752829568,2.90607,4.70047,4.0358,-0.7542877503405384,-0.47900879163886356,8.774724285714285,0.40755563963125097,8.29083,9.45773,8.78969,0.5942340722107123,-0.3120905459961385,0.12560714285714286,0.21527987889522526,-0.22245,0.37166,0.11643,-0.3848813855872518,-0.5981479071323115,-0.022661428571428572,0.09755922123315175,-0.14826,0.11584,0.00061,0.01768551213187694,-1.5462937681455344,-0.04437428571428571,0.20208729556449467,-0.30902,0.15977,0.02857,-0.4874876663707404,-1.8120394742537613,-21.492738571428568,5.21365725203025,-27.26605,-15.53554,-18.67412,-0.22871494670061115,-2.5406403944417244,-25.96783142857143,5.434093619069723,-36.39186,-21.67181,-22.62014,-1.4029314968383246,1.4258578811659504,-33.97311857142857,2.720615915771208,-36.98087,-30.05637,-35.17825,0.40369699181735313,-1.9222836505313197,9.730799997894412,0.17402567068614352,9.54176027574053,9.943177441547546,9.654478120846305,0.1790647598093848,-2.348891135703304,0.2974593365099786,0.12155864350270297,0.14716640037726003,0.47303232236285936,0.28293770533458423,0.2605101377070933,-1.026772336060737,48.3252893572298,3.425808883983608,45.59172181136177,54.35500094656333,46.644403585635004,1.3012274843612095,0.06922628076465429,1007.8000000000001,0.044271887242370626,1007.74,1007.85,1007.8050000000001,-0.29041325450458677,-1.785714285716845
7,street,0.56071,3.94748,9.08841,-0.00534,-0.08276,0.20035,-24.93331,-32.16842,-30.51341,9.924524693031904,0.21683601107749606,50.867920958897066,1007.74,0.681125,0.6102004806618886,0.28369,2.15141,0.493605,2.543903753884025,6.778156663768931,4.02893125,0.6273198744873189,2.90607,4.70047,4.00978,-0.6991445412625292,-0.1042195761576276,8.813935,0.39328442684652526,8.29083,9.45773,8.832975000000001,0.23617395894850116,-0.7633012636186478,0.10923875,0.2046168256897686,-0.22245,0.37166,0.076225,-0.09507443437420854,-0.6667282498823013,-0.03017375,0.09278790591412531,-0.14826,0.11584,-0.041075,0.2896828384351231,-1.3051707486520163,-0.013783750000000004,0.20613427634415527,-0.30902,0.20035,0.05665,-0.6548231955236535,-1.4026161515446807,-21.92281,4.977824710447613,-27.26605,-15.53554,-21.803714999999997,0.06915828685019634,-2.3583164058873813,-26.742905,5.487877901963302,-36.39186,-21.67181,-24.7745,-0.8174216704303119,-0.6395962962533053,-33.540655,2.800099264597595,-36.98087,-30.05637,-33.532669999999996,0.038161910294849326,-2.211363936329122,9.7550155847866,0.17507047750810928,9.54176027574053,9.943177441547546,9.770860178131304,-0.15565350021542854,-2.3188502686525396,0.2873814208309183,0.1160951754809213,0.14716640037726003,0.47303232236285936,0.2777206551324338,0.5285522637478852,-0.7367227340307105,48.64311830743821,3.2966184533019915,45.59172181136177,54.35500094656333,46.922988746483895,0.8924532291075291,-0.8461716242994091,1007.7914285714286,0.0463424108956319,1007.74,1007.85,1007.79,0.08382603731949748,-2.0643290839298793
8,street,0.71206,3.12731,9.44027,-0.02096,0.02015,0.1463,-23.97294,-26.80686,-32.52538,9.970245481060132,0.14916110116246797,48.489276540773425,1007.73,0.6845622222222222,0.570883419573948,0.28369,2.15141,0.56071,2.597939381301392,7.232540322997039,3.9287511111111115,0.6592901401212601,2.90607,4.70047,3.98376,-0.32805961585484,-1.1938659917839936,8.883527777777779,0.4229975801579061,8.29083,9.45773,8.87626,0.040877922293192856,-1.2634397660993588,0.09477222222222222,0.19626019341538528,-0.22245,0.37166,0.03602,0.1470622258495584,-0.6096759563961253,-0.02458222222222222,0.0884012595749882,-0.14826,0.11584,0.00061,0.06795250970415667,-1.2146423988489896,0.004003333333333331,0.20006835182007174,-0.30902,0.20035,0.08473,-0.8659062592541166,-0.971109155870045,-22.15060222222222,4.7062086822084765,-27.26605,-15.53554,-23.97294,0.24262355533030952,-2.0282905832573133,-26.75001111111111,5.133483987978934,-36.39186,-21.67181,-26.80686,-0.8372904130785362,-0.23197931744426808,-33.42784666666667,2.641025915392538,-36.98087,-30.05637,-32.52538,-0.11736090821251785,-1.9014768062039937,9.778930017705882,0.17878916074446458,9.54176027574053,9.970245481060132,9.887242235416304,-0.3623165099683783,-2.0626942724620143,0.2720236075344238,0.11796648003544276,0.14716640037726003,0.47303232236285936,0.27250360493028347,0.6719027617051206,-0.6509972720485286,48.626024777808794,3.0841305536757906,45.59172181136177,54.35500094656333,47.201573907332794,0.9409752991197955,-0.40278071176657954,1007.78375,0.04808846015418588,1007.73,1007.85,1007.775,0.30911501048763884,-1.8869481373276973
9,street,0.32875,3.24633,8.88886,0.02007,-0.01307,-0.33675,-24.17522,-23.30981,-34.06033,9.4688207888311,0.3376006402541322,47.83194104354747,1007.72,0.648981,0.5498691898675133,0.28369,2.15141,0.493605,2.7179022857604713,7.929854402875408,3.8605089999999995,0.6579797891602241,2.90607,4.70047,3.9656200000000004,-0.04967468638312642,-1.4720862268007697,8.884060999999999,0.3988095078396867,8.29083,9.45773,8.88256,0.03713852426563222,-0.9283774072235401,0.087302,0.1865377197363698,-0.22245,0.37166,0.028045,0.2893610414368251,-0.3241756789450062,-0.023431,0.08342497606965328,-0.14826,0.11584,-0.00623,0.018485619685206615,-0.8945399954968722,-0.030071999999999998,0.21723523193891814,-0.33675,0.20035,0.05665,-0.5270165497661898,-1.7183805445916955,-22.353064,4.483009538684675,-27.26605,-15.53554,-24.074080000000002,0.399269581393797,-1.7241907119185338,-26.405991,4.96065349811326,-36.39186,-21.67181,-25.058335,-1.0160806947015846,0.1523490511280252,-33.491095,2.498003085498716,-36.98087,-30.05637,-33.292855,-0.02714389460060692,-1.6320671198516656,9.747919094818403,0.19501437908456934,9.4688207888311,9.970245481060132,9.770860178131304,-0.1978623543365269,-1.9967511916701106,0.27858131080639464,0.11313661151895067,0.14716640037726003,0.47303232236285936,0.2777206551324338,0.46765838390616704,-0.7488078658314146,48.546616404382654,2.9185689464425475,45.59172181136177,54.35500094656333,47.51675747544013,1.058837063746574,0.06977460250512989,1007.7766666666666,0.049749371855344275,1007.72,1007.85,1007.76,0.4507442322987043,-1.6279971431488216
